"aX,aY,aZ,gX,gY,gZ"
"0.012695,-0.045410,0.998413,-0.183105,0.122070,-0.366211"
"0.011963,-0.045288,1.002441,-0.305176,0.000000,-0.305176"
"0.009766,-0.044189,1.001465,-0.244141,0.061035,-0.305176"
"0.009155,-0.043823,0.999512,-0.305176,0.122070,-0.305176"
"0.009399,-0.044312,0.999878,-0.244141,0.061035,-0.244141"
"0.010986,-0.044067,1.001465,-0.244141,0.061035,-0.244141"
"0.011841,-0.044678,1.001831,-0.305176,0.000000,-0.244141"
"0.012329,-0.046265,1.000244,-0.305176,0.000000,-0.305176"
"0.011230,-0.046143,0.999756,-0.305176,0.000000,-0.305176"
"0.010620,-0.044067,1.000488,-0.244141,0.000000,-0.244141"
"0.010376,-0.043823,1.001465,-0.305176,0.000000,-0.244141"
"0.009277,-0.043213,0.999878,-0.305176,0.000000,-0.305176"
"0.008667,-0.044556,0.999390,-0.244141,0.000000,-0.427246"
"0.010010,-0.045166,1.001953,-0.244141,0.000000,-0.366211"
"0.011475,-0.045776,1.001953,-0.183105,0.061035,-0.305176"
"0.013672,-0.046753,1.000000,-0.244141,0.000000,-0.305176"
"0.012573,-0.046875,1.000000,-0.305176,0.000000,-0.244141"
"0.011475,-0.046753,1.001587,-0.305176,0.000000,-0.305176"
"0.009766,-0.044922,1.001831,-0.183105,0.061035,-0.244141"
"0.010498,-0.044922,1.000854,-0.183105,0.061035,-0.244141"
"0.010742,-0.044434,1.001465,-0.305176,0.061035,-0.305176"
"0.011108,-0.044800,1.001831,-0.244141,0.122070,-0.305176"
"0.010986,-0.045898,1.000488,-0.244141,0.061035,-0.305176"
"0.009521,-0.046875,1.000488,-0.305176,0.061035,-0.305176"
"0.010864,-0.045410,0.999634,-0.244141,0.000000,-0.305176"
"0.010254,-0.044800,1.000732,-0.305176,0.000000,-0.305176"
"0.010132,-0.044678,1.001465,-0.244141,0.061035,-0.244141"
"0.010498,-0.043945,1.000366,-0.244141,0.061035,-0.305176"
"0.009888,-0.044434,1.000244,-0.305176,0.061035,-0.305176"
"0.010620,-0.044800,1.001221,-0.305176,0.061035,-0.305176"
"0.011963,-0.046021,0.999512,-0.305176,0.000000,-0.305176"
"0.010864,-0.046265,1.000000,-0.244141,0.000000,-0.366211"
"0.011108,-0.046265,1.000732,-0.183105,0.061035,-0.366211"
"0.011841,-0.045410,1.000488,-0.305176,0.000000,-0.305176"
"0.010742,-0.045044,1.000610,-0.244141,0.000000,-0.305176"
"0.009033,-0.045776,1.001099,-0.244141,0.000000,-0.244141"
"0.008179,-0.045532,1.000732,-0.244141,0.000000,-0.305176"
"0.007690,-0.044678,0.999146,-0.244141,-0.061035,-0.305176"
