aX,aY,aZ,gX,gY,gZ
-0.234619,-0.449097,-0.891846,-22.338865,-30.151365,-49.682613
-0.231567,-0.455566,-0.766113,-33.569336,-22.827147,-34.667969
-0.199829,-0.399292,-0.798584,-61.462399,1.831055,-25.024412
-0.191772,-0.332031,-1.053101,-72.753906,5.920410,-26.611326
-0.216431,-0.374023,-1.142212,-93.994133,-13.122558,-38.452148
-0.217651,-0.435791,-1.069336,-73.364258,-43.151852,-45.043941
-0.215210,-0.455811,-0.823853,-56.091305,-49.316402,-37.902832
-0.223877,-0.400879,-0.665771,-56.213375,-42.297359,-37.414551
-0.229370,-0.421265,-0.741089,-61.035152,-18.737793,-44.616695
-0.231079,-0.457153,-0.874512,-61.706539,-1.098633,-56.091305
-0.233398,-0.534912,-1.145630,-49.438473,-14.282226,-58.593746
-0.247192,-0.551147,-1.124756,-33.752441,-30.334471,-57.250973
-0.266113,-0.583374,-0.872192,-1.281738,-55.603024,-56.152340
-0.272705,-0.600464,-0.761963,-7.263183,-50.231930,-52.368160
-0.272583,-0.607422,-0.789429,-34.301758,-26.000975,-44.982906
-0.268188,-0.629761,-1.023682,-39.550781,-21.118162,-42.724606
-0.279907,-0.687988,-1.131592,-37.353516,-30.639647,-39.794922
-0.290894,-0.744629,-1.114258,-36.987305,-49.194332,-35.217285
-0.295166,-0.791626,-0.967407,-36.254883,-58.837887,-20.446775
-0.283203,-0.737793,-0.829468,-37.231445,-58.105465,-14.770507
-0.265259,-0.746826,-0.828247,-49.865719,-47.485348,-8.178711
-0.243042,-0.722290,-0.939209,-57.128902,-39.550781,0.976562
-0.237061,-0.691040,-0.991211,-47.485348,-45.410152,6.713867
-0.235352,-0.723267,-1.025024,-23.559568,-60.974117,4.516602
-0.216919,-0.786621,-0.930664,-13.549804,-68.847656,7.568359
-0.182983,-0.675415,-0.744507,-18.432617,-75.073242,20.446775
-0.163574,-0.647705,-0.680908,-34.606934,-64.270020,23.498533
-0.115723,-0.651123,-0.668091,-44.860836,-48.950191,26.672361
-0.079956,-0.607422,-0.730225,-48.339840,-44.433590,28.381346
-0.048340,-0.617554,-0.786621,-45.043941,-41.625973,27.648924
-0.036011,-0.619141,-0.798096,-31.860350,-46.752926,28.381346
