aX,aY,aZ,gX,gY,gZ
-0.172363,-0.163330,-1.026733,21.362303,6.469726,40.893551
-0.179077,-0.260498,-1.056763,23.010252,-4.455566,40.344234
-0.179932,-0.246094,-1.061768,27.832029,-15.380858,53.405758
-0.177612,-0.145264,-0.969482,31.372068,-21.484373,65.429687
-0.151611,0.040894,-0.854492,30.517576,-15.991210,66.528320
-0.140015,0.006714,-0.946289,29.174803,-2.258301,53.161617
-0.141724,-0.032104,-0.964355,27.465818,-1.892090,44.677731
-0.145142,-0.075562,-1.078125,27.954100,-5.432128,45.776363
-0.144531,-0.077759,-1.142578,28.930662,-13.916015,49.133297
-0.125854,0.084351,-0.888672,30.029295,-29.907225,57.128902
-0.100586,0.212524,-0.889648,30.456541,-17.211914,50.781246
-0.088379,0.207153,-0.940552,20.202635,-9.094238,29.846189
-0.085693,0.071289,-1.095947,13.977050,-12.145995,18.920898
-0.099365,-0.084106,-1.018799,11.779784,-26.245115,12.390136
-0.098877,-0.057983,-0.915039,12.573241,-18.615723,29.174803
-0.076782,0.183716,-0.893799,8.972168,5.798339,34.057617
-0.062866,0.262695,-1.015503,7.812500,9.460449,25.756834
-0.072754,0.170288,-1.041260,6.896972,5.371093,6.591796
-0.079346,0.083374,-1.071777,10.192870,1.342773,-3.112793
-0.078491,-0.028320,-1.093506,12.451171,-6.713867,4.394531
-0.073364,0.081787,-0.880127,10.131835,-6.225585,10.620116
-0.077515,0.190552,-0.970581,4.089355,12.695312,11.230468
-0.080933,0.168335,-1.016357,0.793457,15.380858,-1.770019
-0.080933,0.111816,-1.018799,0.915527,13.122558,-6.286621
-0.089111,0.060303,-1.011475,-0.427246,9.765625,-12.878417
-0.093384,0.025024,-1.023071,-0.915527,8.117676,-13.183593
-0.088745,0.051880,-1.018311,-1.403808,5.371093,-9.948730
-0.087402,0.125610,-0.991089,-6.469726,3.845215,-13.183593
-0.103027,0.059082,-0.950317,-11.474608,3.051758,-23.986814
-0.108154,0.016724,-0.957397,1.647949,8.361816,-25.512693
-0.108887,-0.015259,-1.002075,6.835937,10.681151,-18.188477
-0.099609,0.036987,-0.971191,1.586914,10.620116,-16.479492
-0.102783,0.046509,-0.985840,-8.178711,14.831542,-17.578125
-0.104248,0.072510,-1.021484,-12.695312,13.549804,-21.118162
-0.113525,0.119629,-0.986084,-14.587401,9.338379,-26.367186
-0.124023,0.023560,-0.872803,-17.211914,5.981445,-39.672852
-0.138306,-0.016113,-0.918823,-17.395020,13.977050,-40.466305
-0.146851,-0.028564,-0.972534,-13.000487,19.165039,-36.865234
-0.158569,-0.070679,-1.042725,-2.258301,20.812986,-29.235838
-0.156616,-0.027710,-1.047852,-1.586914,18.798828,-26.733397
-0.163208,0.037842,-0.979248,-10.131835,16.418457,-31.311033
-0.180786,-0.029785,-0.953369,-24.963377,11.352538,-44.006344
-0.186646,-0.070679,-0.956421,-21.789549,11.169433,-45.837399
-0.195312,-0.153687,-1.037598,-17.272949,11.962890,-43.762203
-0.192627,-0.179077,-1.026245,-8.239746,5.615234,-33.508301
-0.186035,-0.129028,-0.970703,-2.380371,2.868652,-21.301268
-0.177368,-0.004395,-0.876709,-6.652832,15.258788,-25.451658
-0.190186,-0.006958,-0.964722,-14.160155,20.751951,-32.287598
-0.211792,-0.084961,-1.059692,-27.282713,15.747069,-41.015621
-0.215942,-0.137817,-1.071899,-24.780272,6.530761,-40.100098
-0.213257,-0.206787,-1.038452,-9.826660,2.075195,-31.738279
-0.204590,-0.139404,-0.945190,-3.723144,0.122070,-27.343748
-0.204224,-0.093140,-0.881714,0.671387,3.173828,-24.353025
-0.202393,-0.073120,-0.858398,-5.493164,15.258788,-27.282713
-0.206421,-0.051636,-0.960571,-12.084960,18.493652,-28.930662
-0.219238,-0.113403,-1.105835,-22.033689,15.747069,-34.729004
-0.221313,-0.171021,-1.113647,-16.479492,2.746582,-32.897949
-0.216919,-0.158203,-0.996826,-5.432128,-5.249023,-24.230955
-0.213989,-0.117554,-0.877441,-0.061035,-1.098633,-21.850584
-0.221924,-0.122559,-0.855347,-2.746582,3.356933,-21.667479
-0.229370,-0.132080,-0.966797,-17.517090,12.023925,-23.193357
-0.231079,-0.173706,-1.028076,-23.193357,9.460449,-26.550291
-0.230225,-0.263794,-1.045044,-16.113281,0.549316,-21.362303
-0.224243,-0.307983,-0.955078,-11.840819,-2.258301,-15.930175
-0.221436,-0.271851,-0.890015,-6.774902,-3.662109,-3.662109
-0.221558,-0.231934,-0.884277,-9.094238,-0.122070,2.563476
-0.220093,-0.207642,-0.911621,-10.559081,2.685547,0.732422
-0.215210,-0.268677,-0.955811,-8.728027,2.807617,0.244141
-0.222656,-0.327515,-0.982788,-5.310058,-0.915527,4.577637
-0.227295,-0.328857,-0.953369,-2.746582,-5.798339,15.136718
-0.234619,-0.264771,-0.953735,-2.624511,-6.469726,23.803709
-0.241577,-0.176392,-0.940918,-3.723144,-7.751464,25.634764
-0.239136,-0.179565,-1.029541,-3.479004,-6.164550,23.254393
-0.234131,-0.227173,-1.074707,4.394531,-13.671874,21.972654
-0.217896,-0.305420,-0.999023,12.573241,-21.972654,30.517576
-0.223633,-0.305054,-0.961548,13.793944,-23.193357,35.400391
-0.230835,-0.292480,-0.820801,14.038085,-21.789549,46.081539
