"aX,aY,aZ,gX,gY,gZ"
"-0.451172,-1.276733,0.001343,3.356933,-4.760742,76.965332"
"-0.467163,-1.118774,0.039795,7.934570,-3.295898,91.796867"
"-0.454468,-1.043823,0.031128,5.981445,1.281738,101.013176"
"-0.449707,-1.092163,0.087402,-0.671387,3.234863,104.309074"
"-0.447632,-1.077271,0.087402,-3.845215,11.596679,115.905754"
"-0.415527,-1.007446,0.017944,-4.943848,18.920898,120.361320"
"-0.342651,-1.035889,-0.092407,-3.662109,19.592285,120.605461"
"-0.290039,-1.127686,-0.092896,4.577637,12.084960,127.380363"
"-0.277954,-1.155518,-0.034790,19.470215,3.295898,144.836426"
"-0.274048,-1.038086,0.079102,22.338865,7.690429,158.447266"
"-0.220337,-0.875000,0.066040,13.061522,14.038085,154.296875"
"-0.120239,-1.025513,-0.056274,-5.737304,24.902342,137.756348"
"-0.087402,-1.093628,-0.101685,0.732422,22.460936,144.470215"
"-0.049927,-1.104248,-0.099121,9.094238,16.845703,154.296875"
"-0.022827,-1.114624,0.029175,13.671874,7.385253,167.541489"
"-0.006348,-1.160034,0.068726,7.934570,12.939452,179.443344"
"0.018066,-1.018188,0.009155,3.662109,16.967773,189.086899"
"0.085693,-0.843018,-0.092163,0.122070,15.930175,192.932114"
"0.134399,-0.865967,-0.147827,6.591796,9.399414,183.288559"
"0.202393,-0.917114,-0.142090,25.817869,-1.037598,183.532700"
"0.257568,-0.950439,-0.114624,29.479979,-5.065917,185.424789"
"0.285889,-0.898193,-0.057617,24.597166,-14.892577,192.626938"
"0.303101,-0.807495,-0.016968,10.009766,-14.770507,197.814926"
"0.366455,-0.579712,-0.017334,6.896972,-9.338379,193.847641"
"0.458008,-0.498047,-0.075928,3.845215,-2.136230,169.860825"
"0.492187,-0.525146,-0.047241,4.699707,-3.479004,140.869141"
"0.522827,-0.622559,0.086426,-1.159668,3.479004,127.441399"
"0.569824,-0.607666,0.022827,-12.451171,10.925292,126.464836"
"0.624634,-0.488647,-0.119141,-26.123045,14.038085,121.276848"
"0.655151,-0.437622,-0.126343,-24.414061,3.479004,104.492180"
"0.702026,-0.513550,-0.093872,-19.897461,-1.770019,95.092766"
"0.724609,-0.467529,0.022461,-9.887695,-10.437011,86.914055"
"0.730713,-0.460937,0.066895,-18.798828,-4.211426,70.617676"
"0.741943,-0.593872,0.069580,-32.043457,7.934570,63.354488"
"0.774292,-0.428833,-0.056641,-34.851074,11.962890,65.856934"
"0.793335,-0.191162,-0.116577,-28.198240,8.239746,54.931637"
"0.801025,-0.150269,-0.093506,-13.305663,-1.831055,24.841307"
"0.803223,-0.200928,-0.076538,-3.234863,-8.361816,-7.019042"
"0.800293,-0.518311,-0.045410,-0.793457,-10.803222,-18.615723"
"0.790039,-0.613403,0.012817,-0.427246,-11.474608,-14.831542"
"0.780884,-0.513062,0.035400,-7.995605,-8.666992,-4.821777"
"0.779907,-0.345947,0.038696,-14.892577,-3.601074,-14.953612"
"0.761230,-0.223022,0.048706,-16.052246,-0.549316,-24.841307"
"0.750366,-0.261230,-0.026001,-7.080078,7.873535,-52.612301"
"0.745972,-0.353638,-0.089478,6.286621,4.394531,-75.927734"
"0.750000,-0.718628,-0.137085,16.113281,-12.451171,-77.148437"
"0.727661,-0.866699,0.112305,18.615723,-18.371582,-64.514160"
"0.704346,-0.525269,0.197144,9.277344,-2.868652,-43.029781"
"0.705566,-0.346924,0.072998,4.211426,24.414061,-63.537594"
